Item,Category,Sub-Category
Great Value Distilled White Vinegar,Supplies,Cleaning
POWERADE Electrolyte Enhanced Zero Sugar Mixed Berry Sport Drink,Grocery,Drinks
Delimex White Meat Chicken Corn Taquitos Frozen Snacks & Appetizers,Grocery,Frozen
Sam's Choice Dark Chocolate Squares,Grocery,chocolate
Broccoli Florets,Grocery,Veggies
Garlic Bulb Fresh Whole,Grocery,veggies
Blue Sky Farms Free Range Large Brown Eggs,Grocery,Meat
Crystal Farms Sharp Cheddar Block Cheese,Grocery,Cheese
Crystal Farms Pepper Jack Block Cheese,Grocery,Cheese
Fresh Yellow Baby Potatoes,Grocery,veggies
Amy's Indian Mattar Paneer Microwave Meal,Grocery,Frozen
Sam's Choice 90% Cocoa Swiss Dark Chocolate,Grocery,Chocolate
Fresh Banana Fruit,Pets,Food
Sweet Potatoes Whole Fresh,Grocery,Veggies
Brats,Grocery,Meat
Breakfast Sausage,Grocery,Meat
Beef stick,Grocery,Snacks
Reese’s Crispy,Grocery,Snacks
Angel Soft Toilet Paper,supplies,household
King Arthur Baking Company Unbleached Bread Flour,Grocery,Baking
Heinz Simply Tomato Ketchup,Grocery,Sauce
Grassland Unsalted Sweet Cream Butter,Grocery,baking
Suncast 6-inch Indoor/Outdoor Resin Flower Planter,Supplies,Plants
Betty Crocker Bisquick Original Pancake & Baking Mix,Grocery,baking
PLANTERS Honey Roasted Peanuts,Grocery,Snacks
Alani Nu Energy Sticks Cosmic Stardust,Grocery,Energy Drinks
Great Value Energy Pomegranate Lemonade Drink Mix,Grocery,Energy Drinks
Smithfield Marinated Applewood Smoked Bacon Fresh Pork Loin Filet,Grocery,Meat
Marketside Fresh Broccoli Florets,Grocery,veggies
Ravoili’s and Apps,Other,Dining Out
Fresh Step Clean Paws Multi-Cat Scented Litter with Febreze,Pets,Cat
Purina ONE Natural High Protein Dry Puppy Dog Food,Pets,Food
Vibrant Life Large Trapper Litter Mat,Pets,Supplies
Great Value Energy Peach Mango Drink Mix,Grocery,energy Drinks
Stubb's Gluten Free Sticky Sweet Barbecue Sauce,Grocery,Sauce
Fresh Whole Carrots,Grocery,veggies
Fresh Ginger Root,Grocery,veggies
Bragg Gluten-Free Liquid Aminos Soy Protein Seasoning,Grocery,Sauce
Malt-O-Meal Apple Zings Breakfast Cereal,Pets,Food
Sweet and Sour Sauce,Grocery,Sauce
Spicy Nugs,Grocery,Frozen
Party Pizza,Grocery,Frozen
Bellatoria Pizza,Grocery,Frozen
Great Value Milk Whole Vitamin D,Grocery,baking
Quaker Gluten-Free Caramel Rice Cakes,Grocery,Snacks
Quaker Gluten-Free Apple Cinnamon Rice Cakes,Grocery,Snacks
Chosen Foods 100% Pure Toasted Sesame Oil,Grocery,Supplies
Great Value Wonton Strips Salad Topping,Grocery,Snacks
PLANTERS Salted Cocktail Peanuts,Grocery,Snacks
Pagoda Frozen Crunchy Crispy Pork Egg Rolls,Grocery,Frozen
Fresh Green Onions,Grocery,Veggies
Fresh Whole White Onions,Grocery,veggies
Mountain Dew Citrus Soda Pop,Grocery,Energy Drinks
Red Bull Peach Edition Energy Drink,Grocery,Energy Drinks
Vibrant Life Training Pads Dog & Puppy Pads,Pets,Supplies
Raccoon Cage,Pets,Raccoons
Cable Ties,Pets,Raccoons
Malt-O-Meal Honey Nut Scooters Breakfast Cereal,Pets,Food
Dot's Homestyle Honey Mustard Pretzels,Grocery,Snacks
Great Value Pack of 10 Vinyl Form Fitting Disposable Cleaning Gloves,Supplies,Cleaning
Purely Inspired Collagen Peptides Powder with Biotin,supplies,Supplements
Five Spice Powder,Grocery,Spices
Black Pepper,Grocery,Spices
Allspice whole,Grocery,Spices
Fennel Seeds,Grocery,Spices
Fresca Peach,Grocery,Drinks
Orville Redenbacher's Kettle Corn Microwave Popcorn,Grocery,Snacks
Mission Super Soft Extra Thin Yellow Corn Tortillas,Grocery,Carbs
Fresh Sweet Corn on the Cob,Grocery,veggies
Fresh Lime,Grocery,veggies
La Costena Chipotle Peppers in Adobo Sauce,Grocery,Sauce
Fresh Whole Red Onion,Grocery,veggies
Fresh Cilantro,Grocery,veggies
Fresh Jalapeno Pepper,Grocery,veggies
Fresh Plantain,Grocery,veggies
Cazo de Oro Original Kettle Style Corn Tortilla Chips,Grocery,Snacks
Carapelli Original Extra Virgin Olive Oil,Grocery,Supplies
Fresh Hass Avocados,Grocery,veggies
Fresh Lemon,Grocery,Veggies
Cazo de Oro Fire-Roasted Hatch Chile Corn Tortilla Chips,Grocery,Snacks
Del Monte Fire Roasted Whole Kernel Corn,Grocery,veggies
Coca-Cola Zero Sugar Cherry Soda Pop,Grocery,Energy Drinks
Great Value Organic Black Beans,Grocery,veggies
Crystal Farms Marble Jack Shredded Cheese,Grocery,Cheese
Perdue Harvestland Fresh Ground Chicken,Grocery,Meat
Fresh Tomatillos,Grocery,Veggies
Fresh Roma Tomato,Grocery,Veggies
La Costena Chipotle Sauce,Grocery,Sauce
Fresh Iceberg Lettuce,Grocery,Veggies
Great Value Automatic Dishwasher Powder,Supplies,Cleaning
Great Value Liquid Rinse Agent,supplies,cleaning
Cento San Marzano Peeled Tomatoes,Grocery,Veggies
Great Value Plain Bread Crumbs,Grocery,Supplies
Great Value Plain Panko Bread Crumbs,Grocery,Supplies
Tyson All Natural Ground Pork,Grocery,Meat
Marketside Butcher Grass-Fed Ground Beef,Grocery,Meat
De Cecco Spaghetti no.12 Pasta,Grocery,Carbs
Red Bull Sugar Free Energy Drink,Grocery,Energy Drinks
BelGioioso Parmesan Cheese Wedge Specialty Hard Cheese,Grocery,Cheese
Fresh Whole Yellow Onion,Grocery,Veggies
Fresh Italian Parsley,Grocery,Veggies
Viva Signature Cloth Paper Towels,supplies,household
Out! Advanced Pro-Bacteria Pet Stain Odor Remover,pets,supplies
Great Value Heavy Duty Aluminum Foil,Supplies,Kitchen
Mahatma Basmati White Rice,Grocery,carbs
Great Value Pack of 10 Puncture Resistant Nitrile Disposable Multipurpose Cleaning Gloves,Supplies,Cleaning
Perdue Harvestland Free Range Fresh Boneless Chicken Breasts,Grocery,Meat
Lightly Salted Almonds,Grocery,Snacks
Oreos,Other,Potluck
Gelatin,Other,Potluck
M&M Cookies,Other,Potluck
Peanut Butter Cookies,Other,Potluck
Checkers Fries,Grocery,Frozen
Ortho Home Defense Insect Killer for Indoor and Perimeter,Supplies,Misc
Great Value Pure Granulated Sugar,Grocery,baking
Great Value Heavy Duty Scrub Sponges,supplies,cleaning
Argo Cornstarch,Grocery,Baking
Organic Fresh Ginger Root,Grocery,veggies
Prairie Fresh Natural Fresh Pork Picnic Roast,Grocery,Meat
Great Value Black Beans,Grocery,Veggies
Thai Kitchen Gluten Free Stir Fry Rice Noodles,Grocery,Carbs
Fresh Red Cabbage,Grocery,Veggies
Organic Cucumber,Grocery,Veggies
Great Value Roasted & Salted Cocktail Peanuts,Grocery,Snacks
Red Boat Fish Sauce,Grocery,Supplies
Thai Kitchen Gluten Free Red Curry Paste,Grocery,Sauce
Perdue Harvestland Free Range Fresh Boneless Skinless Chicken Thighs,Grocery,Meat
Great Value All Purpose Plastic Spray Bottle,supplies,cleaning
Thai Kitchen Non-GMO Gluten Free Coconut Milk,Grocery,misc
Great Value Disinfecting Wipes,Supplies,Cleaning
Mainstays 10-Piece Flour Sack Kitchen Towel Set,Supplies,Cleaning
Hop Water,Grocery,Party Drinks
Best Day Cerveza,Grocery,Party Drinks
THC Soda,Grocery,Party Drinks
Bravus Raspberry Sour,Grocery,Party Drinks
Meat Stick,Grocery,Meat
Powerade zero 30oz,Grocery,Drinks
Polar Seltzer,Grocery,Drinks
Pirates Booty,Grocery,Snacks
Gas for Lunar Lander,Other,Gas
Slim Jim Monster,Grocery,Snacks
Monster Rehab Peach,Grocery,Energy Drinks
Sweet and Hot Beef Stick,Grocery,Snacks
Propel Zero,Grocery,Drinks
Freschetta Pepperoni Pizza,Grocery,Frozen
Green Mill Pizza,Grocery,Frozen
Dove Chocolate with Almonds,Grocery,Chocolate
Contact Solution,Supplies,Personal Care
Contact Lens Cases,Supplies,Personal Care
Horse Treats,Pets,Horse
Tax,Tax,Tax
Blue Sky Farms Free Range Brown Eggs,Grocery,Meat
California Sun-Dry Sun-Dried Tomatoes,Grocery,veggies
Great Value Low Sodium Club Soda Sparkling Water,Grocery,Drinks
Vibrant Life Training Pads,pets,Ferrets
Crystal Farms Sharp Cheddar Cheese,Grocery,Cheese
Cabot Creamery Bar Seriously Sharp Cheddar Cheese,Grocery,Cheese
McCormick Gourmet Organic Oregano Leaves,Grocery,Spices
Fresh Green Onions Bunch,Grocery,Veggies
Crackers,Grocery,Snacks
Endangered Species Caramel Chocolate,Grocery,Chocolate
Topo Chico Sabores Tangerine With Ginger Extract Cans,Grocery,Drinks
Reynolds Kitchens Quick Cut Plastic Wrap,supplies,kitchen
Sensodyne Sensitivity and Gum Sensitive Toothpaste,supplies,personal care
Local Hive Raw & Unfiltered Midwest Honey Blend,Grocery,Supplies
Quaker Rice Cakes Whole Grain Chocolate,Grocery,Snacks
Good and Gather ?,Grocery,Snacks
Sunchips,Grocery,Snacks
Vanicream Lotion,supplies,personal care
Fulton Hop Kingdom Hop Water 12 Pack,Grocery,Party Drinks
Bravus Blood Orange IPA,Grocery,Party Drinks
tax,Tax,Tax
Dutch Crunch Chips,Grocery,Snacks
Toffee Cashews,Grocery,Snacks
Bellatoria Ultra Thin Crust Ultimate Supreme Frozen Pizza,Grocery,Frozen
Lean Cuisine Pepperoni Pizza,Grocery,Frozen
Pop Corners,Grocery,Snacks
Fresh Butter Lettuce,Grocery,Veggies
Pen+Gear Medium Metal Binder Clips,pets,Ferrets
Hyper Tough Corner Brace,pets,Ferrets
La Choy Chow Mein Noodles,Grocery,carbs
Dynasty Water Chestnuts Sliced,Grocery,veggies
Great Value Vinyl Form Fitting Disposable Cleaning Gloves,supplies,cleaning
Marketside Organic Fresh Green Onions Bunch,Grocery,veggies
Hoisin Sauce,Grocery,Sauce
Smucker's Natural Chunky Peanut Butter,Grocery,misc
Marketside Organic Grass-Fed Ground Beef,Grocery,Meat
Propel Immune Support Electrolyte Mix,Grocery,Drinks
Ferret Food,Pets,Food
Johnsonville Sweet Italian Pork Sausage Links,Grocery,Meat
Amdro Ant Killing Bait Indoor Stations,supplies,household
Fresh Green Kale Bunch,Grocery,Veggies
Gaiam Loop Band Kit,supplies,misc
Fresh Beets,Grocery,veggies
bettergoods Beef Bulgogi Empanadas,Grocery,Frozen
bettergoods Chicken Curry Empanadas,Grocery,Frozen
Marketside Organic Baby Spinach Salad,Grocery,veggies
Organic Valley Organic Whole Milk,Grocery,baking
Fresh Leeks Bunch,Grocery,veggies
Stonyfield Organic Whole Milk Probiotic Yogurt,Grocery,Frozen
Great Value Natural Walnut Halves & Pieces,Grocery,Snacks
Great Value Organic Frozen Blueberries,Grocery,veggies
CELSIUS ZERO SUGAR FITNESS ENERGY DRINK,Grocery,energy Drinks
Alani Nu Energy Drink,Grocery,energy Drinks
Fresh Slicing Tomato,Grocery,veggies
Ben and Jerry’s Ice Cream,Grocery,Snacks
Telani Gelato,Grocery,Snacks
Peanut Butter M&M’s,Grocery,Snacks
Pringles Pizza Chips,Grocery,Snacks
Waffle Fries,Grocery,Frozen
V&V Supremo Chihuahua Authentic Mexican Style Quesadilla Natural Shredded Cheese,Grocery,Cheese
Gatorade Zero Sugar Glacier Cherry Singles Drink Mix,Grocery,Drinks
Fresh Green Leaf Lettuce,Grocery,veggies
Cameron's Coffee Specialty Coffee Gold Roast Hawaiian Ground,Grocery,pam
Simply Non GMO High Pulp Orange Juice,Grocery,Drinks
bettergoods Whole Milk Plain Greek Yogurt,Grocery,Snacks
Great Value #2 Cone Coffee Filters,supplies,Pam
Dove Promises Dark Chocolate & Almond Candy,Grocery,Chocolate
Nasoya Refrigerated Plant-Based Egg Roll Wraps,Grocery,misc
BODYARMOR Sports Drink Strawberry Banana,Grocery,pam
BODYARMOR Sports Drink Orange Mango,Grocery,Drinks
Great Value Nitrile Disposable Gloves,supplies,cleaning
Horizon Organic Heavy Whipping Cream,Grocery,baking
Cepacol Extra Strength Sore Throat & Cough Lozenges,supplies,covid
Fresh Sweet Rainier Cherries,Grocery,pam
Club Soda,Grocery,Drinks
Powerade Zero,Grocery,Drinks
Dove Promises Dark Chocolate Candy,Grocery,chocolate
Zoup! Good Really Good Chicken Bone Broth,Grocery,misc
Chloraseptic Max Strength Sore Throat Lozenges,supplies,covid
Equate Sore Throat Oral Anesthetic Spray,supplies,covid
Bibigo Mini Wontons Pork & Vegetable Dumplings,Grocery,Frozen
Totino's Party Pizza Triple Cheese,Grocery,Frozen
Great Value Honey Roasted Cashews,Grocery,Snacks
Great Value Toasted Coconut Cashews,Grocery,Snacks
bettergoods Pistachio Salted Caramel Premium Ice Cream,Grocery,Frozen
Club Minis Original Mini Crackers,Grocery,pam
Campbell's Condensed Heart Healthy Homestyle Chicken Noodle Soup,Grocery,pam
bettergoods Chef Inspired Carolina Gold Style BBQ Flavored Kettle Potato Chips,Grocery,Snacks
Ricola Honey Herb Soothing Cough Drops,supplies,covid
Lindt Excellence 85% Cocoa Dark Chocolate Candy Bar,Grocery,chocolate
Vicks DayQuil Severe Vapocool Caplets,supplies,covid
Canada Dry Caffeine Free Ginger Ale Soda Pop,Grocery,Drinks
Thai Kitchen Gluten Free Gluten Free Stir Fry Rice Noodles,Grocery,carbs
CELSIUS Sparkling Oasis Vibe,Grocery,energy Drinks
Kerrygold Grass-Fed Reserve Irish Cheddar,Grocery,Cheese
SunChips Harvest Cheddar Whole Grain Snacks,Grocery,Snacks
Thai Kitchen Gluten Free Gluten Free Red Curry Paste,Grocery,Sauce
Reese's Big Cup Stuffed with REESE's Puffs Milk Chocolate King Size Peanut Butter Cups Candy,Grocery,chocolate
Kettle Brand Potato Chips Air Fried Himalayan Salt,Grocery,Snacks
Mission Garden Spinach Herb Wraps,Grocery,carbs
bettergoods Gluten Free Maple Chicken Sausage Patties,Grocery,Meat
bettergoods Gluten Free Maple Chicken Sausage Link,Grocery,Meat
Alexia Crispy Bite-Size Sweet Potato Puffs,Grocery,Frozen
Marketside Artichoke Spinach Tomato Flatbread Pizza,Grocery,Pam
Core Hydration Perfectly Balanced Water,Grocery,Pam
Ravoili’s and Calzone,Other,Dining Out
Mucinx Cold,supplies,Covid
Great Value Fresh Seal Double Zipper Freezer Bags,supplies,kitchen
Marketside Roasted Garlic and Herb Fresh Seasoned Pork Loin Filet,Grocery,Meat
Propel Powder Packets Drink Mix,Grocery,Drinks
Diet Dr. Pepper,Grocery,Drinks
Bubly Peach Soda Water,Grocery,Drinks
Lucia’s Tikka Marsala Pizza,Grocery,Frozen
Fresh Step Multi-Cat Scented Litter,pets,supplies
Mainstays Pink Floral Cozy Plush Throw Blanket,Pets,supplies
Mainstays Self-Watering Tan Planter,supplies,plants
Fresh Tomato on the Vine,Grocery,veggies
King Arthur White Whole Wheat Flour,Grocery,Baking
Bag Fee,Tax,Tax
Pork Loin Chops,Grocery,Meat
Sun-dried Tomatoes,Grocery,Veggies
Assorted Cookies,Grocery,Snacks
Delimex White Meat Chicken Corn Taquitos,Grocery,misc
Amy's Frozen Meals Indian Mattar Paneer Microwave Meal,Grocery,Frozen
OREO Double Stuf Chocolate Sandwich Cookies,Grocery,Baking
Great Value Strong Flex Tall Kitchen Trash Bags,supplies,household
Karo Light Corn Syrup with Real Vanilla,Grocery,Baking
Best Day Hazy IPA,Grocery,Party Drinks
Untitled Art 6 pack,Grocery,Party Drinks
Bibigo Sweet and Spicy Chicken,Grocery,Meat
Chocolate Walnuts,Grocery,Snacks
Great Value Freezer Guard Double Zipper Freezer Bags,supplies,kitchen
Crystal Farms Mozzarella Shredded Cheese,Grocery,Cheese
Great Value Tropical Mango Punch Drink Mix,Grocery,Drinks
BelGioioso Romano Cheese Wedge,Grocery,Cheese
GHIRARDELLI 72% Cacao Dark Chocolate Premium Baking Chips,Grocery,Chocolate
Perdue Harvestland Free Range Fresh Boneless Chicken Breast,Grocery,Meat
BelGioioso Freshly Grated Parmesan Cheese,Grocery,Cheese
Margherita Uncured Sliced Pepperoni,Grocery,Meat
Chosen Foods 100% Pure Avocado Oil,Grocery,Supplies
Fresh Whole Brown Mushrooms,Grocery,veggies
Quaker Rice Cakes Apple Cinnamon,Grocery,Snacks
Marketside Fresh Green Beans,Grocery,veggies
Colavita Balsamic Vinegar of Modena IGP,Grocery,Supplies
Sudaphed,Supplies,Personal Care
Marketside Tri-Color Cole Slaw,Grocery,veggies
Knox Original Unflavored Gelatin,Grocery,baking
OREO Thins Tiramisu Creme Chocolate Sandwich Cookies,Grocery,baking
OREO Thins Chocolate Sandwich Cookies,Grocery,baking
Marketside Cage-Free Large Brown Eggs,Grocery,Meat
Untitled Art 12 pack,Grocery,Party Drinks
La Croix Pack,Grocery,Drinks
Cashews,Grocery,Snacks
Ginger,Grocery,Spices
Whole Milk,Grocery,Baking
Marketside Mild Italian Sausage,Grocery,Meat
Broccoli Coleslaw,Grocery,Veggies
Slaw Mix,Grocery,Veggies
Extra Firm Tofu,Grocery,Meat
Shredded Cheddar Cheese,Grocery,Cheese
Lucia's Spicy Chicken Pizza,Grocery,Frozen
Monster Zero Ultra,Grocery,Energy Drinks
Monster Sparkling Water,Grocery,Drinks
Chocolate Bar,Grocery,Chocolate
Doritos,Grocery,Snacks
Nutty Bars,Grocery,Snacks
Propel Drinks,Grocery,Drinks
Marg Mix,Misc,Misc
Reese's Zero Sugar Dark Miniatures Chocolate Peanut Butter Cups Candy,Grocery,chocolate
Great Value Organic Anise Seed,Grocery,Spices
Oral-B Glide Peppermint Dental Floss Picks,supplies,personal care
